Date,Confirmed
2020-03-21,3
2020-03-22,4
2020-03-23,5
2020-03-24,0
2020-03-25,0
2020-03-26,9
2020-03-27,2
2020-03-28,0
2020-03-29,8
2020-03-30,11
2020-03-31,1
2020-04-01,2
2020-04-02,1
2020-04-03,1
2020-04-04,1
2020-04-05,1
2020-04-06,0
2020-04-07,2
2020-04-08,4
2020-04-09,4
2020-04-10,2
2020-04-11,7
2020-04-12,1
2020-04-13,2
2020-04-14,4
2020-04-15,1
2020-04-16,4
2020-04-17,0
2020-04-18,3
2020-04-19,1
2020-04-20,6
2020-04-21,10
2020-04-22,7
2020-04-23,0
2020-04-24,0
2020-04-25,1
2020-04-26,0
2020-04-27,1
2020-04-28,3
2020-04-29,1
2020-04-30,0
2020-05-01,0
2020-05-02,1
2020-05-03,0
2020-05-04,0
2020-05-05,0
2020-05-06,0
2020-05-07,0
2020-05-08,0
2020-05-09,0
2020-05-10,0
2020-05-11,0
2020-05-12,0
2020-05-13,1
2020-05-14,2
2020-05-15,0
2020-05-16,0
2020-05-17,2
2020-05-18,3
2020-05-19,5
2020-05-20,3
2020-05-21,4
2020-05-22,12
2020-05-23,16
2020-05-24,12
2020-05-25,10
2020-05-26,8
2020-05-27,1
2020-05-28,10
2020-05-29,8
2020-05-30,15
2020-05-31,7
2020-06-01,0
2020-06-02,5
2020-06-03,2
2020-06-04,6
2020-06-05,0
2020-06-06,12
2020-06-07,2
2020-06-08,4
2020-06-09,5
2020-06-10,4
2020-06-11,7
2020-06-12,3
2020-06-13,14
2020-06-14,4
2020-06-15,10
2020-06-16,7
2020-06-17,4
2020-06-18,4
2020-06-19,8
2020-06-20,4
2020-06-21,10
2020-06-22,3
2020-06-23,6
2020-06-24,17
2020-06-25,9
2020-06-26,13
2020-06-27,11
2020-06-28,26
2020-06-29,14
2020-06-30,26
2020-07-01,27
2020-07-02,9
2020-07-03,18
2020-07-04,35
2020-07-05,25
2020-07-06,11
2020-07-07,19
2020-07-08,22
2020-07-09,8
2020-07-10,23
2020-07-11,19
2020-07-12,17
2020-07-13,44
2020-07-14,12
2020-07-15,35
2020-07-16,23
2020-07-17,9
2020-07-18,39
2020-07-19,13
